label,family
"gp20B|CP015439.1:c198254-198191 Anoxybacteroides amylolyticum strain DSM 15939 plasmid pDSM15939_1, complete sequence FORWARD",gp20B
"gp20B|CP048649.1:543042-543101 Aminipila butyrica strain DSM 103574 chromosome, complete genome FORWARD",gp20B
"gp20B|NFJT01000033.1:c22159-22104 Anaerofilum sp. An201 An201_contig_33, whole genome shotgun sequence FORWARD",gp20B
"gp20B|KB291681.1:88006-88070 Clostridium celatum DSM 1785 genomic scaffold Scfld153, whole genome shotgun sequence FORWARD",gp20B
"gp20B|VFMF01000001.1:3819704-3819762 Clostridium sp. KNHs216 LY85DRAFT_unitig_0_quiver.1, whole genome shotgun sequence FORWARD",gp20B
"gp20B|CP002547.1:361566-361626 Syntrophobotulus glycolicus DSM 8271, complete genome FORWARD",gp20B
"gp20B|SRMQ01000016.1:c13399-13341 Caproiciproducens galactitolivorans strain BS-1 CAGA_contig000016, whole genome shotgun sequence FORWARD",gp20B
"gp20B|MK448910.1:23829-23891 Streptococcus phage Javan336, complete genome FORWARD",gp20B
"gp20B|CVTD020000017.1:c159990-159925 Herbinix hemicellulosilytica genome assembly TUM3/55, contig 02_T3/55T_contig17, whole genome shotgun sequence FORWARD",gp20B
"int-alpA|FPBO01000015.1:136452-136523 Massilia namucuonensis strain CGMCC 1.11014 genome assembly, contig: Ga0079888_1015, whole genome shotgun sequence FORWARD",int-alpA
"int-alpA|CP072793.1:c2243525-2243456 Thiothrix unzii strain A1 chromosome, complete genome FORWARD",int-alpA
"int-alpA|FUYB01000003.1:c291249-291177 Thiothrix eikelboomii strain ATCC 49788 genome assembly, contig: EI61DRAFT_scaffold00003.3, whole genome shotgun sequence FORWARD",int-alpA
"int-alpA|FOSR01000003.1:127136-127202 Rhodanobacter glycinis strain MO64 genome assembly, contig: Ga0075223_103, whole genome shotgun sequence FORWARD",int-alpA
"int-alpA|SMAJ01000003.1:97398-97466 Paralcaligenes ureilyticus strain DSM 24591 Ga0244690_103, whole genome shotgun sequence FORWARD",int-alpA
"int-alpA|DF970248.1:43898-43967 Mizugakiibacter sediminis DNA, contig: NODE_130, strain: skMP5, whole genome shotgun sequence FORWARD",int-alpA
"int-alpA|PNEO01000008.1:179167-179236 Burkholderia sp. WAC0059 08, whole genome shotgun sequence FORWARD",int-alpA
"int-alpA|CP023439.1:c4560430-4560363 Thauera sp. K11 chromosome, complete genome FORWARD",int-alpA
"int-alpA|CAJQZC010000005.1:386583-386653 Paraburkholderia sp. LMG 31841 genome assembly, contig: 5, whole genome shotgun sequence FORWARD",int-alpA
"int-alpA|BAFF01000008.1:c65031-64965 Atlantibacter hermannii NBRC 105704 NBRC 105704 DNA, contig: EH10570408, whole genome shotgun sequence FORWARD",int-alpA
"int-alpA|AMXB01000020.1:48728-48796 Thauera sp. 27 Cont20, whole genome shotgun sequence FORWARD",int-alpA
"int-alpA|PKRR01000002.1:542826-542893 Uliginosibacterium sp. TH139 NODE_2_length_767930_cov_428.101714, whole genome shotgun sequence FORWARD",int-alpA
"int-alpA|CP049156.1:c2771235-2771166 Caballeronia sp. SBC1 chromosome, complete genome FORWARD",int-alpA
"int-alpA|FLQX01000159.1:6095-6163 Candidatus Accumulibacter sp. S1 isolate 3 genome assembly, contig: ACCAA_Contig_79, whole genome shotgun sequence FORWARD",int-alpA
"int-alpA|SDKK01000011.1:c62376-62307 Zoogloea oleivorans strain Buc BUC_nxtrim.se_trimmed_contig_47, whole genome shotgun sequence FORWARD",int-alpA
"int-alpA|SDKK01000017.1:c86441-86373 Zoogloea oleivorans strain Buc BUC_nxtrim.se_trimmed_contig_33, whole genome shotgun sequence FORWARD",int-alpA
"int-alpA|JACMNB010000011.1:c125298-125231 MAG: Methylotenera sp. isolate LF-bin-133 FL-bin-133-contig-k141_330395, whole genome shotgun sequence FORWARD",int-alpA
"int-alpA|FLQX01000101.1:c72131-72061 Candidatus Accumulibacter sp. S1 isolate 3 genome assembly, contig: ACCAA_Contig_26, whole genome shotgun sequence FORWARD",int-alpA
"int-alpA|AP012224.1:c537381-537314 Pseudogulbenkiania sp. NH8B DNA, complete genome FORWARD",int-alpA
"int-alpA|FOFS01000008.1:210198-210265 Solimonas aquatica strain DSM 25927 genome assembly, contig: Ga0070002_108, whole genome shotgun sequence FORWARD",int-alpA
nhaaI|AM746676.1:c4580779-4580721 Sorangium cellulosum 'So ce 56' complete genome FORWARD,nhaaI
nhaaI|AM260480.1:496833-496891 Ralstonia eutropha H16 chromosome 2 FORWARD,nhaaI
"nhaaI|JTDN01000001.1:2084804-2084864 Croceibacterium mercuriale strain Coronado scaffold_0, whole genome shotgun sequence FORWARD",nhaaI
"nhaaI|CP000245.1:1201949-1202001 Ramlibacter tataouinensis TTB310, complete genome FORWARD",nhaaI
"nhaaI|WVTD01000008.1:c157649-157596 Novosphingobium silvae strain FGD1 NODE_8_length_190061_cov_34.815699, whole genome shotgun sequence FORWARD",nhaaI
"nhaaI|BMIH01000002.1:c882707-882649 Sphingomonas metalli CGMCC 1.15330 DNA, sequence02, whole genome shotgun sequence FORWARD",nhaaI
"nhaaI|JACIVI010000001.1:26743-26795 Aquariibacter albus strain SJAQ100 contig1, whole genome shotgun sequence FORWARD",nhaaI
"nhaaI|LMDI01000067.1:c120494-120438 Rhizobacter sp. Root1221 contig_7, whole genome shotgun sequence FORWARD",nhaaI
"nhaaI|RKMB01000002.1:191613-191663 Ramlibacter sp. WS9 NODE_2_length_612727_cov_37.2678_ID_3073, whole genome shotgun sequence FORWARD",nhaaI
"nhaaI|RAQU01000199.1:c8842-8787 Teichococcus wenyumeiae strain Z24 Scaffold193_1, whole genome shotgun sequence FORWARD",nhaaI
"nhaaI|CP054841.1:520038-520090 Comamonas antarctica strain 16-35-5 plasmid unnamed1, complete sequence FORWARD",nhaaI
"nhaaI|CP002521.1:4962505-4962555 Acidovorax avenae subsp. avenae ATCC 19860, complete genome FORWARD",nhaaI
"nhaaI|JXTP01000058.1:c13356-13298 Sphingomonas melonis strain 30a NODE_16, whole genome shotgun sequence FORWARD",nhaaI
"nhaaI|FKIF01000006.1:491-545 Bordetella ansorpii strain H050680373 genome assembly, contig: ERS1093620SCcontig000006, whole genome shotgun sequence FORWARD",nhaaI
"nhaaI|FNBI01000013.1:18842-18897 Sphingomonas sp. S7-754 genome assembly, contig: Ga0075252_113, whole genome shotgun sequence FORWARD",nhaaI
"nhaaI|FOGD01000001.1:c289637-289585 Giesbergeria anulus strain ATCC 35958 genome assembly, contig: Ga0052898_scaffold00001.1, whole genome shotgun sequence FORWARD",nhaaI
"nhaaI|CP009533.1:1400502-1400563 Pseudomonas rhizosphaerae strain DSM 16299, complete genome FORWARD",nhaaI
"nhaaI|NWVC01000003.1:c229446-229391 Sphingomonas adhaesiva strain DSM 7418 contig3, whole genome shotgun sequence FORWARD",nhaaI
"nhaaI|AP012320.1:c1809734-1809683 Rubrivivax gelatinosus IL144 DNA, complete genome FORWARD",nhaaI
"nhaaI|CP029985.1:c3012493-3012434 Sphingomonas sp. FARSPH chromosome, complete genome FORWARD",nhaaI
photorcII|HQ634175.1:c68532-68436 Cyanophage P-RSM1 genomic sequence FORWARD,photorcII
"photorcII|GU071108.1:162206-162301 Prochlorococcus phage Syn33, complete genome FORWARD",photorcII
"photorcII|KU686206.1:160385-160480 Synechococcus phage S-CAM9 isolate 1109NB16, complete genome FORWARD",photorcII
"photorcII|KJ019156.1:177668-177763 Synechococcus phage ACG-2014e isolate Syn7803C2, complete genome FORWARD",photorcII
"photorcII|MW015081.1:207241-207338 Synechococcus phage S-SRM01, complete genome FORWARD",photorcII
"photorcII|HQ634178.1:157403-157496 Synechococcus phage S-CAM8 strain S-CAM8 06008BI06, complete genome FORWARD",photorcII
photorcII|FM207411.1:c8702-8606 Synechococcus phage S-RSM4 complete genome FORWARD,photorcII
"photorcII|KU686210.1:169171-169266 Synechococcus phage S-WAM1 isolate 0810PA09, complete genome FORWARD",photorcII
"photorcII|JN371769.1:162313-162408 Synechococcus phage metaG-MbCM1, complete genome FORWARD",photorcII
"photorcII|OQ504981.1:61922-62016 Synechococcus phage S-RS29, complete genome FORWARD",photorcII
"photorcII|GU071097.1:164585-164681 Synechococcus phage S-SSM5, complete genome FORWARD",photorcII
"photorcII|KU686209.1:159627-159718 Synechococcus phage S-CAM22 isolate 1209TA19, complete genome FORWARD",photorcII
"photorcII|OQ319121.1:c49325-49228 Synechococcus phage S-BM3, complete genome FORWARD",photorcII
"photorcII|GU071106.1:166909-167003 Synechococcus phage Syn19, complete genome FORWARD",photorcII
"photorcII|OP053362.1:7937-8033 Cyanophage S-TIM54, complete genome FORWARD",photorcII
"photorcII|HQ317292.1:165583-165678 Synechococcus phage S-RIM2 R1_1999, complete genome FORWARD",photorcII
"photorcII|MH629685.1:79337-79432 Synechococcus virus S-PRM1, complete genome FORWARD",photorcII
"photorcII|GU071096.1:167689-167782 Synechococcus phage S-ShM2, complete genome FORWARD",photorcII
"photorcII|GU071095.1:179573-179668 Synechococcus phage S-SM2, complete genome FORWARD",photorcII
"photorcII|KJ019059.1:174288-174383 Synechococcus phage ACG-2014f isolate Syn7803C90, complete genome FORWARD",photorcII
"radC|LBNQ01000033.1:c32187-32040 Lampropedia cohaerens strain CT6 484, whole genome shotgun sequence FORWARD",radC
"radC|BBYR01000068.1:7745-7895 Ideonella sakaiensis DNA, contig: ISCTG068, whole genome shotgun sequence FORWARD",radC
"radC|JSYI01000024.1:36578-36728 Diaphorobacter sp. J5-51 NODE_134, whole genome shotgun sequence FORWARD",radC
radC|HG322950.1:3753079-3753226 Pseudomonas knackmussii B13 complete genome FORWARD,radC
"radC|CP002657.1:1904436-1904586 Alicycliphilus denitrificans K601, complete genome FORWARD",radC
"radC|PSNW01000005.1:283121-283271 Solimonas fluminis strain HR-BB HR-BB_5, whole genome shotgun sequence FORWARD",radC
"radC|BNBA01000005.1:136487-136633 [Pseudomonas] boreopolis JCM 13306 DNA, sequence05, whole genome shotgun sequence FORWARD",radC
radC|HG322950.1:3410357-3410504 Pseudomonas knackmussii B13 complete genome FORWARD,radC
"radC|CP000352.1:2567864-2568011 Cupriavidus metallidurans CH34, complete genome FORWARD",radC
"radC|CP001281.2:c1037709-1037559 Thauera sp. MZ1T, complete genome FORWARD",radC
"radC|CP064781.1:c869355-869205 Azospira restricta strain DSM 18626 chromosome, complete genome FORWARD",radC
"radC|QLAG01000012.1:c3464-3314 Stutzerimonas nosocomialis strain SD129 contig00012, whole genome shotgun sequence FORWARD",radC
"radC|WBSF01000009.1:198902-199052 Betaproteobacteria bacterium SCN1 NODE_2_length_571767_cov_42.151974, whole genome shotgun sequence FORWARD",radC
"radC|FLOC01000018.1:c52448-52300 Marinomonas aquimarina strain CECT 5080 genome assembly, contig: 0018, whole genome shotgun sequence FORWARD",radC
"radC|CP028339.1:c327956-327806 Thauera aromatica K172 chromosome, complete genome FORWARD",radC
"radC|CP000555.1:2560890-2561040 Methylibium petroleiphilum PM1, complete genome FORWARD",radC
"radC|JXYQ01000012.1:c92581-92433 Acidovorax temperans strain KY4 Contig_12, whole genome shotgun sequence FORWARD",radC
"radC|AZSV01000016.1:30506-30656 Pseudomonas sp. BAY1663 contig000016, whole genome shotgun sequence FORWARD",radC
"radC|AP018560.1:c594948-594801 Aerosticca soli DNA, complete genome FORWARD",radC
radC|CR555306.1:c1513825-1513675 Azoarcus aromaticum EbN1 complete genome FORWARD,radC
"ragath|FORR01000021.1:c22915-22843 Thermoflavimicrobium dichotomicum strain DSM 44778 genome assembly, contig: Ga0104487_121, whole genome shotgun sequence FORWARD",ragath
"ragath|CM009896.1:1032814-1032886 Butyrivibrio fibrisolvens strain INBov1 chromosome, whole genome shotgun sequence FORWARD",ragath
"ragath|FPBY01000281.1:c2231-2157 Clostridium sp. DSM 8431 genome assembly, contig: Ga0070257_1281, whole genome shotgun sequence FORWARD",ragath
"ragath|HF999883.1:2267-2339 Roseburia sp. CAG:197 genomic scaffold, scf170, whole genome shotgun sequence FORWARD",ragath
"ragath|FPBY01000216.1:213-286 Clostridium sp. DSM 8431 genome assembly, contig: Ga0070257_1216, whole genome shotgun sequence FORWARD",ragath
"ragath|BOPZ01000040.1:c24395-24322 Clostridium polyendosporum JCM 30710 DNA, sequence040, whole genome shotgun sequence FORWARD",ragath
"ragath|CABHNW010000153.1:26-98 Blautia luti isolate Blautia_luti_SSTS_Bg7063 genome assembly, contig: 66, whole genome shotgun sequence FORWARD",ragath
"ragath|MJIG01000003.1:392790-392862 Anaerostipes sp. 992a contig000003, whole genome shotgun sequence FORWARD",ragath
"ragath|MJIG01000003.1:390181-390255 Anaerostipes sp. 992a contig000003, whole genome shotgun sequence FORWARD",ragath
"ragath|ACVI01000042.1:c956-883 Clostridium carboxidivorans P7 ctg00199, whole genome shotgun sequence FORWARD",ragath
"ragath|MJIG01000004.1:c1189657-1189585 Anaerostipes sp. 992a contig000004, whole genome shotgun sequence FORWARD",ragath
"ragath|CABHNW010000003.1:c63698-63626 Blautia luti isolate Blautia_luti_SSTS_Bg7063 genome assembly, contig: 100, whole genome shotgun sequence FORWARD",ragath
"ragath|FPBY01000060.1:c19511-19437 Clostridium sp. DSM 8431 genome assembly, contig: Ga0070257_1060, whole genome shotgun sequence FORWARD",ragath
"ragath|MJIG01000004.1:c558154-558082 Anaerostipes sp. 992a contig000004, whole genome shotgun sequence FORWARD",ragath
"ragath|FPBY01000213.1:c5170-5097 Clostridium sp. DSM 8431 genome assembly, contig: Ga0070257_1213, whole genome shotgun sequence FORWARD",ragath
"ragath|LYPC01000025.1:135183-135244 Paenibacillus pectinilyticus strain KCTC13222 scaffold25, whole genome shotgun sequence FORWARD",ragath
"ragath|CP000885.1:c4818438-4818367 Lachnoclostridium phytofermentans ISDg chromosome, complete genome FORWARD",ragath
"ragath|FPBY01000132.1:c9067-8994 Clostridium sp. DSM 8431 genome assembly, contig: Ga0070257_1132, whole genome shotgun sequence FORWARD",ragath
"ragath|FUXA01000009.1:c136830-136758 Eubacterium ruminantium strain ATCC 17233 genome assembly, contig: EI46DRAFT_scaffold00007.7, whole genome shotgun sequence FORWARD",ragath
"ragath|FR891013.1:c40770-40698 Eubacterium rectale CAG:36 genomic scaffold, scf84, whole genome shotgun sequence FORWARD",ragath
"rhodo-rpoB|JAEIJD010000018.1:c13072-12979 Pontibaca salina strain S1109L scaffold_18_length=17928, whole genome shotgun sequence FORWARD",rhodo-rpoB
"rhodo-rpoB|CP014796.1:2033200-2033291 Salipiger profundus strain JLT2016, complete sequence FORWARD",rhodo-rpoB
"rhodo-rpoB|CP000031.2:c3720079-3719985 Ruegeria pomeroyi DSS-3, complete genome FORWARD",rhodo-rpoB
"rhodo-rpoB|PVTQ01000002.1:74373-74464 Donghicola tyrosinivorans strain DSM 100212 Ga0181042_102, whole genome shotgun sequence FORWARD",rhodo-rpoB
"rhodo-rpoB|AAYC01000001.1:318015-318108 Roseobacter sp. SK209-2-6 1101232001815, whole genome shotgun sequence FORWARD",rhodo-rpoB
"rhodo-rpoB|SULI01000002.1:292994-293087 Shimia litoralis strain CL-ES2 scaffold2, whole genome shotgun sequence FORWARD",rhodo-rpoB
"rhodo-rpoB|VANS01000011.1:c15070-14978 Sulfitobacter sabulilitoris strain HSMS-29 contig11, whole genome shotgun sequence FORWARD",rhodo-rpoB
"rhodo-rpoB|FZNN01000002.1:185832-185926 Puniceibacterium sediminis strain DSM 29052 genome assembly, contig: Ga0170426_102, whole genome shotgun sequence FORWARD",rhodo-rpoB
"rhodo-rpoB|CP048788.1:575036-575129 Roseobacter ponti strain DSM 106830 chromosome, complete genome FORWARD",rhodo-rpoB
"rhodo-rpoB|FRBR01000023.1:8039-8130 Roseovarius pacificus strain DSM 29589 genome assembly, contig: Ga0131109_123, whole genome shotgun sequence FORWARD",rhodo-rpoB
"rhodo-rpoB|CYSA01000019.1:c14666-14573 Thalassobius gelatinovorus genome assembly Tgelatinovorus_CECT4357_Seqman_Prokka, contig 0019, whole genome shotgun sequence FORWARD",rhodo-rpoB
"rhodo-rpoB|CYSD01000030.1:c17133-17040 Tropicibacter multivorans genome assembly Tr.multivorans_CECT7557_Seqman_Prokka, contig 0030, whole genome shotgun sequence FORWARD",rhodo-rpoB
"rhodo-rpoB|DS995281.1:c3149577-3149485 Rhodobacterales bacterium Y4I scf_1106129324773 genomic scaffold, whole genome shotgun sequence FORWARD",rhodo-rpoB
"rhodo-rpoB|CP025815.1:439310-439402 Sulfitobacter sp. JL08 chromosome, complete genome FORWARD",rhodo-rpoB
"rhodo-rpoB|FTPS01000001.1:c1120456-1120363 Pontibaca methylaminivorans strain DSM 21219 genome assembly, contig: Ga0104525_11, whole genome shotgun sequence FORWARD",rhodo-rpoB
"rhodo-rpoB|JAHXDN010000001.1:1241848-1241940 Roseobacter insulae strain YSTF-M11 1, whole genome shotgun sequence FORWARD",rhodo-rpoB
"rhodo-rpoB|CP000362.1:c3880756-3880664 Roseobacter denitrificans OCh 114, complete genome FORWARD",rhodo-rpoB
"rhodo-rpoB|FOEP01000003.1:399067-399160 Litorimicrobium taeanense strain DSM 22007 genome assembly, contig: Ga0070518_103, whole genome shotgun sequence FORWARD",rhodo-rpoB
"rhodo-rpoB|QNGB01000005.1:c170206-170113 Roseovarius sp. TE539 contig5, whole genome shotgun sequence FORWARD",rhodo-rpoB
"rhodo-rpoB|RAPE01000002.1:165275-165367 Roseovarius spongiae strain HN-E21 contig2, whole genome shotgun sequence FORWARD",rhodo-rpoB
